id,trigger,conditions,script,text,options,notes
sShipBarLookAtFreighter,DialogOptionSelected,$option == sShip_lookBar,"Call $sShip_ref showShip
DoCanAffordCheck $sShip_price contact_acceptBar",你拿起数据板并滚动浏览舰船的规格。,"contact_acceptBar:以{$sShip_price}星币购买{$sShip_hullSize。
contact_declineBarNoContinue:拒绝购买",Nk::
sShipLookAtFreighter,DialogOptionSelected,$option == sShip_look,"Call $sShip_ref showShip
DoCanAffordCheck $sShip_price contact_accept",$personName}轻轻按下几个按钮唤出舰船的详细数据给你检查。,"contact_accept:以{$sShip_price}星币购买{$sShip_hullSize。
contact_decline:拒绝购买",
sShipPostAccept,ContactPostAccept,$missionId == sShip,"ShowPersonVisual
RemoveCommodity credits $sShip_price
AddShip $sShip_member
Call $sShip_ref2 repSuccess
Call $sShip_ref2 addContacts",,,
,,,,,,
# spysat deployment,,,,,,
ssatBlurb,ssat_blurb,,,"""舰队情报部门已向{$ssat_marketName}轨道部署了一个离散型观测包。在这里你可以获取所有任务需要的参数。""
OR
""战略观测非常重要;}我们需要部署一个小型观测包至{$ssat_marketName}的轨道。""",,
ssatOfferOption,ssat_option,,,,ssat_start:询问关于部署观察包,
ssatBlurbUW,ssat_blurb,$ssat_underworld,,"""我需要一颗环绕在{$ssat_marketName}轨道的小型卫星。用于——关注事态的发展。""
OR
""我需要密切关注{$ssat_marketName}——部署一颗小型间谍卫星足以。""",,
ssatOfferOptionUW,ssat_option,$ssat_underworld,,,ssat_start:询问关于部署间谍卫星,
ssatBlurbBar,ssat_blurbBar,,,在一个靠边阴暗的座位上，{$ssat_manOrWoman}完美地以一种明显但又不起眼的坐姿成功地吸引了你的眼球。目光对上的一瞬间，{$ssat_manOrWoman}微微点头。,,
ssatOfferOptionBar,ssat_optionBar,,,,ssat_startBar:走过去，坐在{$ssat_manOrWoman}身边,
ssatBlurbBarUW,ssat_blurbBar,$ssat_underworld,,在一个靠边阴暗的摊子上，{$ssat_manOrWoman}以一种明显但又不起眼地饮酒姿势成功的吸引了你的眼球。两人目光对上的一瞬间，{$ssat_manOrWoman}微微向你点头。,,
ssatOfferOptionBarUW,ssat_optionBar,$ssat_underworld,,,ssat_startBar:走过去，和一起{$ssat_manOrWoman}站在这个摊子附近,
ssatOfferTextBar,DialogOptionSelected,$option == ssat_startBar,"$missionId = ssat
SetTextHighlights $ssat_reward","这名{$manOrWoman}明显是个军人，尽管{$heOrShe的}徽章或制服能证明，但他们永远都穿着军用规格的靴子。

""啊，舰长，{""$heOrShe}说，{""我们知道你是一位能干而谨慎的特工。上面授权我提议给你一个简单的任务。完成后将会有{$ssat_reward}星币的报酬。",contact_acceptBar2:继续,
ssatOfferTextBar2,DialogOptionSelected,$option == contact_acceptBar2,,"""关于行动内容，""$heOrShe}如同跟新入伍的学员一样介绍情况，""在{$ssat_systemName}星系进入{$ssat_marketName}行星的标准轨道。然后部署这颗间谍卫星;}这个阶段确保没有巡逻队在追踪你。一旦部署完成，间谍卫星可以隐形，其他人不太可能检测到它。""

""这是一项非常简单的任务。当然我们不能冒险用悬挂着我们旗帜的舰船来执行这项任务——这也是你为什么在这里的原因。你接受这个任务吗""","contact_acceptBar:接受
contact_declineBarNoContinue:拒绝",
